track_id,track_title,artist_name,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
291,Galbi malu alyom,Gamal Musbah,11,2019,0.405,0.195,6,-10.648,1,0.91,0,0.225,0.758,128.581,137064,4
292,Galbi zad ham,Talal Alsatta,14,2016,0.618,0.742,10,-6.344,1,0.87,0,0.264,0.847,140.988,213629,4
293,Galu lai ayyan,Talal Alsatta,17,2017,0.761,0.529,10,-6.996,1,0.95,0,0.22,0.849,119.854,205270,4
294,Gamar Alzaman,Mostafa Sid Ahmed,14,1996,0.784,0.233,0,-16.301,1,0.73,0,0.0997,0.936,109.502,653401,4
295,Gamar dawa,Sharhabil Ahmed,19,2020,0.619,0.774,7,-4.812,1,0.73,0.0257,0.0681,0.972,83.589,317375,4
296,Gana al babay,Kamal Tarbas,18,1985,0.554,0.627,5,-7.784,0,0.87,0,0.158,0.951,77.185,430560,4
297,Ganaya albreedo,Taha Suliman,22,2020,0.82,0.5,10,-10.896,1,0.66,0,0.0909,0.968,136.963,335961,4
298,Garamak,Abdel Karim Alkabli,4,2006,0.735,0.54,11,-10.16,0,0.41,0.0034,0.0748,0.91,85.953,448440,4
299,Gaseem raidi,Asha Algabal,5,2021,0.554,0.781,1,-7.172,1,0.31,0,0.379,0.817,167.877,371592,3
300,Gaye tafatish almadi,Kamal Tarbas,7,1985,0.415,0.511,7,-6.343,1,0.68,0,0.113,0.715,136.495,492813,3
301,Gdreshinnaha,Abdel Gadir Salim,3,1999,0.567,0.38,2,-15.686,1,0.69,0.0036,0.113,0.814,87.085,579267,4
302,Gedudna zaman,Ahmed Amin,12,2020,0.703,0.34,7,-14.838,0,0.45,0.0001,0.116,0.598,144.995,233114,4
303,Geebuhu lai,Noon Alankabota,22,2022,0.661,0.673,0,-9.191,1,0.26,0.0004,0.112,0.65,122.319,190463,5
304,Geenaki,Abdel Gadir Salim,2,2003,0.383,0.3,0,-15.68,1,0.9,0.0051,0.114,0.637,146.072,463627,3
